MES,Data,Grupos de usuários,Parceiro,compradores,comissão,cashback,vendas totais,porcentagem de cash back ATUAL,Ticket Médio,"porcentagem ""IDEAL""",lucro,,,,,,,,,,
março,2011-03-06,Grupo 1,Parceiro A,90,$4.765,$2.166,$43.322,"45,45%",$481,,$2.599,,,,,,,,,,
março,2011-03-06,Grupo 1,Parceiro A,72,$3.725,$1.697,$33.862,"45,55%",$470,,$2.028,,,,,,,,,,
março,2011-03-07,Grupo 2,Parceiro A,69,$4.288,$2.144,$38.978,"50,00%",$565,,$2.144,,,,,,,,,,
março,2011-03-07,Grupo 3,Parceiro A,76,$3.885,$1.413,$35.315,"36,36%",$465,,$2.472,,,,,,,,,,
março,2011-03-07,Grupo 1,Parceiro A,59,$2.739,$1.245,$24.904,"45,46%",$422,,$1.494,,,,,,,,,,
março,2011-03-08,Grupo 2,Parceiro A,70,$3.975,$1.988,$36.140,"50,00%",$516,,$1.988,,,,,,,,,,
março,2011-03-08,Grupo 1,Parceiro A,69,$4.121,$1.873,$37.465,"45,45%",$543,,$2.248,,,,,,,,,,
março,2011-03-08,Grupo 2,Parceiro A,104,$5.767,$2.883,$52.426,"50,00%",$504,,$2.883,,,,,,,,,,
março,2011-03-09,Grupo 1,Parceiro A,62,$3.827,$1.740,$34.791,"45,45%",$561,,$2.087,,,,,,,,,,
março,2011-03-09,Grupo 1,Parceiro A,37,$2.733,$1.242,$24.848,"45,45%",$672,,$1.491,,,,,,,,,,
março,2011-03-09,Grupo 2,Parceiro A,211,$18.066,$11.627,$116.514,"64,36%",$552,,$6.438,,,,,,,,,,
março,2011-03-10,Grupo 3,Parceiro A,91,$6.067,$2.222,$55.155,"36,63%",$606,,$3.845,,,,,,,,,,
março,2011-03-10,Grupo 1,Parceiro A,54,$3.163,$1.438,$28.755,"45,45%",$532,,$1.725,,,,,,,,,,
março,2011-03-10,Grupo 2,Parceiro A,247,$23.893,$15.415,$154.149,"64,52%",$624,,$8.478,,,,,,,,,,
março,2011-03-11,Grupo 2,Parceiro A,181,$15.731,$10.149,$101.489,"64,52%",$561,,$5.582,,,,,,,,,,
março,2011-03-11,Grupo 3,Parceiro A,236,$22.342,$14.042,$144.144,"62,85%",$611,,$8.300,,,,,,,,,,
março,2011-03-11,Grupo 2,Parceiro A,180,$16.822,$10.815,$108.532,"64,29%",$603,,$6.007,,,,,,,,,,
março,2011-03-12,Grupo 3,Parceiro A,238,$19.570,$12.624,$126.236,"64,50%",$530,,$6.947,,,,,,,,,,
março,2011-03-12,Grupo 3,Parceiro A,186,$16.270,$10.497,$104.965,"64,52%",$564,,$5.773,,,,,,,,,,
março,2011-03-12,Grupo 2,Parceiro A,107,$5.851,$2.691,$53.192,"45,99%",$497,,$3.160,,,,,,,,,,
março,2011-03-13,Grupo 3,Parceiro A,175,$15.580,$10.052,$100.518,"64,52%",$574,,$5.528,,,,,,,,,,
março,2011-03-13,Grupo 2,Parceiro A,105,$6.427,$2.930,$58.431,"45,59%",$556,,$3.497,,,,,,,,,,
março,2011-03-13,Grupo 3,Parceiro A,139,$8.545,$3.979,$77.680,"46,56%",$559,,$4.566,,,,,,,,,,
março,2011-03-14,Grupo 2,Parceiro A,81,$4.651,$2.114,$42.282,"45,45%",$522,,$2.537,,,,,,,,,,
março,2011-03-14,Grupo 2,Parceiro A,95,$6.003,$2.729,$54.576,"45,45%",$574,,$3.275,,,,,,,,,,
março,2011-03-14,Grupo 2,Parceiro A,93,$6.433,$2.945,$58.485,"45,77%",$629,,$3.489,,,,,,,,,,
março,2011-03-15,Grupo 2,Parceiro A,65,$4.831,$2.196,$43.917,"45,45%",$676,,$2.635,,,,,,,,,,
março,2011-03-15,Grupo 1,Parceiro A,78,$5.093,$2.316,$46.303,"45,47%",$594,,$2.778,,,,,,,,,,
março,2011-03-15,Grupo 1,Parceiro A,108,$6.209,$2.822,$56.449,"45,45%",$523,,$3.387,,,,,,,,,,
março,2011-03-16,Grupo 1,Parceiro A,196,$17.914,$11.535,$115.574,"64,39%",$590,,$6.379,,,,,,,,,,
março,2011-03-16,Grupo 1,Parceiro A,216,$18.911,$12.174,$122.008,"64,38%",$565,,$6.737,,,,,,,,,,
março,2011-03-16,Grupo 2,Parceiro A,73,$3.623,$1.658,$32.940,"45,76%",$451,,$1.965,,,,,,,,,,
março,2011-03-17,Grupo 1,Parceiro A,161,$14.469,$9.331,$93.312,"64,49%",$580,,$5.138,,,,,,,,,,
março,2011-03-17,Grupo 3,Parceiro A,94,$6.484,$2.944,$58.948,"45,41%",$627,,$3.540,,,,,,,,,,
março,2011-03-17,Grupo 3,Parceiro A,89,$5.763,$2.619,$52.388,"45,45%",$589,,$3.143,,,,,,,,,,
março,2011-03-18,Grupo 3,Parceiro A,106,$5.946,$2.729,$54.055,"45,89%",$510,,$3.217,,,,,,,,,,
março,2011-03-18,Grupo 3,Parceiro A,69,$4.260,$1.937,$38.731,"45,45%",$561,,$2.324,,,,,,,,,,
março,2011-03-18,Grupo 2,Parceiro A,86,$5.265,$2.389,$47.860,"45,38%",$557,,$2.876,,,,,,,,,,
março,2011-03-19,Grupo 1,Parceiro A,185,$22.995,$14.836,$148.355,"64,52%",$802,,$8.160,,,,,,,,,,
março,2011-03-19,Grupo 1,Parceiro A,124,$7.791,$3.637,$70.827,"46,68%",$571,,$4.154,,,,,,,,,,
março,2011-03-19,Grupo 3,Parceiro A,68,$3.769,$1.801,$34.263,"47,79%",$504,,$1.968,,,,,,,,,,
